selectivity,mask_seed,matched_level,method,active_cells,edges,mean_degree_active,materialization_ms,summary_checks
0.02,0,2,uniform_b8_active,9411,106468,11.313144192965678,52.14960500001098,161899
0.02,0,2,capacity_b8,9411,148520,15.781532249495271,207.29536299998585,3373243
0.02,0,2,hybrid_g4_c4_u4,9411,194322,20.648390181702265,372.7413860000013,3373243
0.02,1,2,uniform_b8_active,9418,107370,11.400509662348695,51.15773999997941,162532
0.02,1,2,capacity_b8,9418,148786,15.798046294330007,205.49698199999966,3382430
0.02,1,2,hybrid_g4_c4_u4,9418,194844,20.6884688893608,372.72879200000375,3382430
0.02,2,2,uniform_b8_active,9442,106988,11.331073925015886,51.77608600001804,162274
0.02,2,2,capacity_b8,9442,149064,15.787333192120313,205.7926939999959,3371374
0.02,2,2,hybrid_g4_c4_u4,9442,195262,20.68015251006143,374.86168799998154,3371374
0.01,0,2,uniform_b8_active,6478,53472,8.254399506020377,36.57319900000289,114518
0.01,0,2,capacity_b8,6478,101742,15.705773386847792,142.2721830000171,2440067
0.01,0,2,hybrid_g4_c4_u4,6478,125880,19.43192343315838,260.1808409999933,2440067
0.01,1,2,uniform_b8_active,6478,53272,8.223525779561593,35.68989899997632,114434
0.01,1,2,capacity_b8,6478,101670,15.69465884532263,141.6195139999843,2431107
0.01,1,2,hybrid_g4_c4_u4,6478,125436,19.363383760419882,253.97019600001158,2431107
0.01,2,2,uniform_b8_active,6465,52356,8.098375870069605,36.295846000001575,113465
0.01,2,2,capacity_b8,6465,101478,15.696519721577726,142.06021800001167,2418457
0.01,2,2,hybrid_g4_c4_u4,6465,125396,19.396133023975253,253.3773450000183,2418457
0.007,0,2,uniform_b8_active,5069,33712,6.6506214243440525,27.976373999990756,90633
0.007,0,2,capacity_b8,5069,79026,15.590057210495166,108.02547700001242,1951973
0.007,0,2,hybrid_g4_c4_u4,5069,94476,18.63799565989347,194.01835299998993,1951973
0.007,1,2,uniform_b8_active,5068,33206,6.552091554853986,27.985661000002438,90323
0.007,1,2,capacity_b8,5068,79080,15.603788476716653,107.69514000000413,1953891
0.007,1,2,hybrid_g4_c4_u4,5068,94376,18.621941594317285,192.66901199998188,1953891
0.007,2,2,uniform_b8_active,5122,34372,6.710659898477157,28.380970000000616,91421
0.007,2,2,capacity_b8,5122,79960,15.611089418196018,108.44201699998735,1972266
0.007,2,2,hybrid_g4_c4_u4,5122,95538,18.652479500195238,196.53727600001503,1972266
0.005,0,3,uniform_b8_active,1511,19476,12.889477167438782,8.400496000007251,24562
0.005,0,3,capacity_b8,1511,23908,15.822634017207148,32.480972000001884,538906
0.005,0,3,hybrid_g4_c4_u4,1511,32156,21.28127068166777,59.67441300001042,538906
0.005,1,3,uniform_b8_active,1484,18938,12.761455525606468,8.357296000014003,24193
0.005,1,3,capacity_b8,1484,23484,15.824797843665769,31.635181000012835,534444
0.005,1,3,hybrid_g4_c4_u4,1484,31492,21.221024258760107,57.656593000018574,534444
0.005,2,3,uniform_b8_active,1511,19678,13.023163467902052,8.541710999992347,24664
0.005,2,3,capacity_b8,1511,23896,15.814692256783587,31.985697000010305,539351
0.005,2,3,hybrid_g4_c4_u4,1511,32272,21.358041032428854,58.61578500000064,539351
0.003,0,3,uniform_b8_active,1214,12812,10.553542009884678,6.758068000010553,19946
0.003,0,3,capacity_b8,1214,19128,15.756177924217463,26.57053799998721,442141
0.003,0,3,hybrid_g4_c4_u4,1214,24980,20.57660626029654,47.4911489999954,442141
0.003,1,3,uniform_b8_active,1233,13298,10.78507704785077,6.907046000009132,20340
0.003,1,3,capacity_b8,1233,19430,15.75831305758313,26.990722999983063,449822
0.003,1,3,hybrid_g4_c4_u4,1233,25420,20.616382806163827,47.92524900000217,449822
0.003,2,3,uniform_b8_active,1238,13258,10.709208400646203,6.982856999997011,20258
0.003,2,3,capacity_b8,1238,19510,15.75928917609047,26.656938999991553,450563
0.003,2,3,hybrid_g4_c4_u4,1238,25470,20.5735056542811,48.61593999999059,450563
0.002,0,3,uniform_b8_active,1044,9580,9.17624521072797,5.953464000015174,17288
0.002,0,3,capacity_b8,1044,16448,15.754789272030651,22.75207299999238,387471
0.002,0,3,hybrid_g4_c4_u4,1044,20996,20.11111111111111,40.87331299999164,387471
0.002,1,3,uniform_b8_active,1037,9406,9.07039537126326,5.793785999998136,17091
0.002,1,3,capacity_b8,1037,16280,15.699132111861138,22.36532099999522,379367
0.002,1,3,hybrid_g4_c4_u4,1037,20764,20.02314368370299,40.4050279999808,379367
0.002,2,3,uniform_b8_active,1054,9914,9.40607210626186,5.862935000010339,17471
0.002,2,3,capacity_b8,1054,16570,15.721062618595825,22.922631999989562,390326
0.002,2,3,hybrid_g4_c4_u4,1054,21086,20.00569259962049,41.25447600000598,390326
0.001,0,3,uniform_b8_active,692,4338,6.26878612716763,3.8904090000073666,11563
0.001,0,3,capacity_b8,692,10756,15.54335260115607,14.397591999994575,259051
0.001,0,3,hybrid_g4_c4_u4,692,12930,18.684971098265898,25.60557500001437,259051
0.001,1,3,uniform_b8_active,703,4506,6.409672830725462,3.9807089999897016,11706
0.001,1,3,capacity_b8,703,10968,15.601706970128022,14.57935199999838,262549
0.001,1,3,hybrid_g4_c4_u4,703,13130,18.67709815078236,25.83531500002323,262549
0.001,2,3,uniform_b8_active,701,4528,6.459343794579173,3.9668329999926755,11733
0.001,2,3,capacity_b8,701,10936,15.600570613409415,14.513608999976668,261261
0.001,2,3,hybrid_g4_c4_u4,701,13032,18.59058487874465,25.885017999996762,261261
