selectivity,mask_seed,level,sample_size,matches,s_hat,relative_error
0.02,0,0,1000000,19797,0.019797,0.01015000000000009
0.02,0,1,124841,2445,0.01958491200807427,0.020754399596286527
0.02,0,2,15653,309,0.019740624800357758,0.012968759982112145
0.02,0,3,1964,47,0.023930753564154784,0.1965376782077392
0.02,0,4,210,4,0.01904761904761905,0.047619047619047554
0.02,0,5,27,1,0.037037037037037035,0.8518518518518517
0.02,0,6,5,0,0.0,1.0
0.02,0,7,1,0,0.0,1.0
0.02,1,0,1000000,19795,0.019795,0.010250000000000016
0.02,1,1,124841,2510,0.020105574290497513,0.005278714524875605
0.02,1,2,15653,326,0.020826678591963202,0.041333929598160075
0.02,1,3,1964,40,0.020366598778004074,0.01832993890020368
0.02,1,4,210,1,0.004761904761904762,0.7619047619047619
0.02,1,5,27,0,0.0,1.0
0.02,1,6,5,0,0.0,1.0
0.02,1,7,1,0,0.0,1.0
0.02,2,0,1000000,19799,0.019799,0.01004999999999999
0.02,2,1,124841,2443,0.019568891630153556,0.02155541849232223
0.02,2,2,15653,306,0.019548968248897975,0.02255158755510127
0.02,2,3,1964,42,0.021384928716904276,0.0692464358452138
0.02,2,4,210,4,0.01904761904761905,0.047619047619047554
0.02,2,5,27,1,0.037037037037037035,0.8518518518518517
0.02,2,6,5,0,0.0,1.0
0.02,2,7,1,0,0.0,1.0
0.01,0,0,1000000,9917,0.009917,0.008299999999999974
0.01,0,1,124841,1204,0.009644267508270521,0.03557324917294793
0.01,0,2,15653,165,0.010541110330288124,0.054111033028812414
0.01,0,3,1964,21,0.010692464358452138,0.0692464358452138
0.01,0,4,210,3,0.014285714285714285,0.4285714285714285
0.01,0,5,27,0,0.0,1.0
0.01,0,6,5,0,0.0,1.0
0.01,0,7,1,0,0.0,1.0
0.01,1,0,1000000,9919,0.009919,0.008099999999999948
0.01,1,1,124841,1256,0.010060797334209113,0.00607973342091131
0.01,1,2,15653,161,0.010285568261675078,0.028556826167507737
0.01,1,3,1964,16,0.008146639511201629,0.18533604887983715
0.01,1,4,210,3,0.014285714285714285,0.4285714285714285
0.01,1,5,27,0,0.0,1.0
0.01,1,6,5,0,0.0,1.0
0.01,1,7,1,0,0.0,1.0
0.01,2,0,1000000,9917,0.009917,0.008299999999999974
0.01,2,1,124841,1303,0.01043727621534592,0.043727621534592025
0.01,2,2,15653,169,0.01079665239890117,0.07966523989011691
0.01,2,3,1964,27,0.01374745417515275,0.3747454175152749
0.01,2,4,210,2,0.009523809523809525,0.047619047619047554
0.01,2,5,27,1,0.037037037037037035,2.7037037037037033
0.01,2,6,5,0,0.0,1.0
0.01,2,7,1,0,0.0,1.0
0.007,0,0,1000000,7115,0.007115,0.01642857142857138
0.007,0,1,124841,853,0.0068326911831850115,0.02390125954499837
0.007,0,2,15653,83,0.005302497923720693,0.24250029661132966
0.007,0,3,1964,14,0.007128309572301426,0.018329938900203704
0.007,0,4,210,1,0.004761904761904762,0.31972789115646255
0.007,0,5,27,1,0.037037037037037035,4.291005291005291
0.007,0,6,5,0,0.0,1.0
0.007,0,7,1,0,0.0,1.0
0.007,1,0,1000000,7115,0.007115,0.01642857142857138
0.007,1,1,124841,886,0.007097027418876811,0.013861059839544462
0.007,1,2,15653,111,0.00709129240401201,0.01304177200171575
0.007,1,3,1964,17,0.008655804480651732,0.23654349723596163
0.007,1,4,210,3,0.014285714285714285,1.040816326530612
0.007,1,5,27,0,0.0,1.0
0.007,1,6,5,0,0.0,1.0
0.007,1,7,1,0,0.0,1.0
0.007,2,0,1000000,7114,0.007114,0.016285714285714216
0.007,2,1,124841,919,0.007361363654568611,0.051623379224087294
0.007,2,2,15653,110,0.007027406886858749,0.003915269551249793
0.007,2,3,1964,17,0.008655804480651732,0.23654349723596163
0.007,2,4,210,3,0.014285714285714285,1.040816326530612
0.007,2,5,27,0,0.0,1.0
0.007,2,6,5,0,0.0,1.0
0.007,2,7,1,0,0.0,1.0
0.005,0,0,1000000,4935,0.004935,0.01299999999999999
0.005,0,1,124841,577,0.0046218790301263205,0.07562419397473592
0.005,0,2,15653,73,0.004663642752188079,0.06727144956238419
0.005,0,3,1964,9,0.004582484725050916,0.08350305498981674
0.005,0,4,210,1,0.004761904761904762,0.047619047619047554
0.005,0,5,27,0,0.0,1.0
0.005,0,6,5,0,0.0,1.0
0.005,0,7,1,0,0.0,1.0
0.005,1,0,1000000,4938,0.004938,0.012400000000000085
0.005,1,1,124841,640,0.005126520934628848,0.025304186925769606
0.005,1,2,15653,81,0.00517472688941417,0.03494537788283399
0.005,1,3,1964,10,0.0050916496945010185,0.01832993890020368
0.005,1,4,210,3,0.014285714285714285,1.8571428571428572
0.005,1,5,27,0,0.0,1.0
0.005,1,6,5,0,0.0,1.0
0.005,1,7,1,0,0.0,1.0
0.005,2,0,1000000,4937,0.004937,0.012599999999999938
0.005,2,1,124841,557,0.004461675250919169,0.10766494981616619
0.005,2,2,15653,65,0.004152558614961988,0.16948827700760238
0.005,2,3,1964,7,0.003564154786150713,0.2871690427698574
0.005,2,4,210,2,0.009523809523809525,0.9047619047619049
0.005,2,5,27,1,0.037037037037037035,6.407407407407407
0.005,2,6,5,1,0.2,39.0
0.005,2,7,1,0,0.0,1.0
0.003,0,0,1000000,2894,0.002894,0.0353333333333334
0.003,0,1,124841,381,0.003051881993896236,0.017293997965411954
0.003,0,2,15653,57,0.0036414744777358973,0.21382482591196575
0.003,0,3,1964,5,0.0025458248472505093,0.1513917175831636
0.003,0,4,210,0,0.0,1.0
0.003,0,5,27,0,0.0,1.0
0.003,0,6,5,0,0.0,1.0
0.003,0,7,1,0,0.0,1.0
0.003,1,0,1000000,2895,0.002895,0.03500000000000002
0.003,1,1,124841,339,0.002715454057561218,0.09484864747959405
0.003,1,2,15653,38,0.0024276496518239317,0.1907834493920228
0.003,1,3,1964,3,0.0015274949083503055,0.4908350305498982
0.003,1,4,210,0,0.0,1.0
0.003,1,5,27,0,0.0,1.0
0.003,1,6,5,0,0.0,1.0
0.003,1,7,1,0,0.0,1.0
0.003,2,0,1000000,2897,0.002897,0.03433333333333341
0.003,2,1,124841,372,0.0029797902932530177,0.006736568915660772
0.003,2,2,15653,42,0.002683191720436977,0.10560275985434098
0.003,2,3,1964,4,0.002036659877800407,0.32111337406653095
0.003,2,4,210,0,0.0,1.0
0.003,2,5,27,0,0.0,1.0
0.003,2,6,5,0,0.0,1.0
0.003,2,7,1,0,0.0,1.0
0.002,0,0,1000000,2016,0.002016,0.007999999999999978
0.002,0,1,124841,265,0.0021227000744947575,0.06135003724737874
0.002,0,2,15653,30,0.0019165655145978408,0.04171724270107965
0.002,0,3,1964,4,0.002036659877800407,0.018329938900203548
0.002,0,4,210,1,0.004761904761904762,1.3809523809523812
0.002,0,5,27,1,0.037037037037037035,17.518518518518515
0.002,0,6,5,0,0.0,1.0
0.002,0,7,1,0,0.0,1.0
0.002,1,0,1000000,2017,0.002017,0.008500000000000044
0.002,1,1,124841,262,0.0020986695076136846,0.0493347538068423
0.002,1,2,15653,29,0.0018526799974445793,0.07366000127771039
0.002,1,3,1964,4,0.002036659877800407,0.018329938900203548
0.002,1,4,210,0,0.0,1.0
0.002,1,5,27,0,0.0,1.0
0.002,1,6,5,0,0.0,1.0
0.002,1,7,1,0,0.0,1.0
0.002,2,0,1000000,2017,0.002017,0.008500000000000044
0.002,2,1,124841,234,0.0018743842167236724,0.0628078916381638
0.002,2,2,15653,35,0.0022359931003641475,0.11799655018207371
0.002,2,3,1964,5,0.0025458248472505093,0.2729124236252546
0.002,2,4,210,2,0.009523809523809525,3.7619047619047623
0.002,2,5,27,0,0.0,1.0
0.002,2,6,5,0,0.0,1.0
0.002,2,7,1,0,0.0,1.0
0.001,0,0,1000000,1040,0.00104,0.03999999999999989
0.001,0,1,124841,124,0.0009932634310843393,0.0067365689156607
0.001,0,2,15653,14,0.000894397240145659,0.105602759854341
0.001,0,3,1964,4,0.002036659877800407,1.036659877800407
0.001,0,4,210,0,0.0,1.0
0.001,0,5,27,0,0.0,1.0
0.001,0,6,5,0,0.0,1.0
0.001,0,7,1,0,0.0,1.0
