selectivity,mask_seed,matched_level,method,valid_count,active_cells,point_valid_degree,point_zero_degree,active_degree,active_zero_degree
0.02,0,2,uniform_b8_active,19797,9411,0.2583219679749457,0.7701671970500581,11.313144192965678,0.0
0.02,0,2,capacity_b8,19797,9411,0.2583219679749457,0.7701671970500581,15.781532249495271,0.0
0.02,0,2,hybrid_g4_c4_u4,19797,9411,0.2583219679749457,0.7701671970500581,20.648390181702265,0.0
0.02,1,2,uniform_b8_active,19795,9418,0.24915382672392017,0.7776711290729982,11.400509662348695,0.0
0.02,1,2,capacity_b8,19795,9418,0.24915382672392017,0.7776711290729982,15.798046294330007,0.0
0.02,1,2,hybrid_g4_c4_u4,19795,9418,0.24915382672392017,0.7776711290729982,20.6884688893608,0.0
0.02,2,2,uniform_b8_active,19799,9442,0.25238648416586695,0.7752411737966564,11.331073925015886,0.0
0.02,2,2,capacity_b8,19799,9442,0.25238648416586695,0.7752411737966564,15.787333192120313,0.0
0.02,2,2,hybrid_g4_c4_u4,19799,9442,0.25238648416586695,0.7752411737966564,20.68015251006143,0.0
0.01,0,2,uniform_b8_active,9917,6478,0.12796208530805686,0.8800040334778663,8.254399506020377,0.0004631058968817536
0.01,0,2,capacity_b8,9917,6478,0.12796208530805686,0.8800040334778663,15.705773386847792,0.0
0.01,0,2,hybrid_g4_c4_u4,9917,6478,0.12796208530805686,0.8800040334778663,19.43192343315838,0.0
0.01,1,2,uniform_b8_active,9919,6478,0.12743220082669623,0.8808347615687065,8.223525779561593,0.0004631058968817536
0.01,1,2,capacity_b8,9919,6478,0.12743220082669623,0.8808347615687065,15.69465884532263,0.0
0.01,1,2,hybrid_g4_c4_u4,9919,6478,0.12743220082669623,0.8808347615687065,19.363383760419882,0.0
0.01,2,2,uniform_b8_active,9917,6465,0.12332358576182313,0.8827266310376122,8.098375870069605,0.0006187161639597834
0.01,2,2,capacity_b8,9917,6465,0.12332358576182313,0.8827266310376122,15.696519721577726,0.0
0.01,2,2,hybrid_g4_c4_u4,9917,6465,0.12332358576182313,0.8827266310376122,19.396133023975253,0.0
0.007,0,2,uniform_b8_active,7115,5069,0.09374560787069572,0.9110330288123683,6.6506214243440525,0.001578220556322746
0.007,0,2,capacity_b8,7115,5069,0.09374560787069572,0.9110330288123683,15.590057210495166,0.0
0.007,0,2,hybrid_g4_c4_u4,7115,5069,0.09374560787069572,0.9110330288123683,18.63799565989347,0.0
0.007,1,2,uniform_b8_active,7115,5068,0.09922698524244554,0.9051300070274069,6.552091554853986,0.0007892659826361484
0.007,1,2,capacity_b8,7115,5068,0.09922698524244554,0.9051300070274069,15.603788476716653,0.0
0.007,1,2,hybrid_g4_c4_u4,7115,5068,0.09922698524244554,0.9051300070274069,18.621941594317285,0.0
0.007,2,2,uniform_b8_active,7114,5122,0.09530503233061569,0.907787461343829,6.710659898477157,0.0011714174150722373
0.007,2,2,capacity_b8,7114,5122,0.09530503233061569,0.907787461343829,15.611089418196018,0.0
0.007,2,2,hybrid_g4_c4_u4,7114,5122,0.09530503233061569,0.907787461343829,18.652479500195238,0.0
0.005,0,3,uniform_b8_active,4935,1511,0.05916919959473151,0.9414387031408308,12.889477167438782,0.0
0.005,0,3,capacity_b8,4935,1511,0.05916919959473151,0.9414387031408308,15.822634017207148,0.0
0.005,0,3,hybrid_g4_c4_u4,4935,1511,0.05916919959473151,0.9414387031408308,21.28127068166777,0.0
0.005,1,3,uniform_b8_active,4938,1484,0.06865127582017011,0.9337788578371811,12.761455525606468,0.0
0.005,1,3,capacity_b8,4938,1484,0.06865127582017011,0.9337788578371811,15.824797843665769,0.0
0.005,1,3,hybrid_g4_c4_u4,4938,1484,0.06865127582017011,0.9337788578371811,21.221024258760107,0.0
0.005,2,3,uniform_b8_active,4937,1511,0.07737492404294105,0.9258659104719466,13.023163467902052,0.0
0.005,2,3,capacity_b8,4937,1511,0.07737492404294105,0.9258659104719466,15.814692256783587,0.0
0.005,2,3,hybrid_g4_c4_u4,4937,1511,0.07737492404294105,0.9258659104719466,21.358041032428854,0.0
0.003,0,3,uniform_b8_active,2894,1214,0.03489979267449896,0.9651002073255011,10.553542009884678,0.0
0.003,0,3,capacity_b8,2894,1214,0.03489979267449896,0.9651002073255011,15.756177924217463,0.0
0.003,0,3,hybrid_g4_c4_u4,2894,1214,0.03489979267449896,0.9651002073255011,20.57660626029654,0.0
0.003,1,3,uniform_b8_active,2895,1233,0.03730569948186528,0.9633851468048359,10.78507704785077,0.0
0.003,1,3,capacity_b8,2895,1233,0.03730569948186528,0.9633851468048359,15.75831305758313,0.0
0.003,1,3,hybrid_g4_c4_u4,2895,1233,0.03730569948186528,0.9633851468048359,20.616382806163827,0.0
0.003,2,3,uniform_b8_active,2897,1238,0.037970314118053156,0.9634104245771488,10.709208400646203,0.0
0.003,2,3,capacity_b8,2897,1238,0.037970314118053156,0.9634104245771488,15.75928917609047,0.0
0.003,2,3,hybrid_g4_c4_u4,2897,1238,0.037970314118053156,0.9634104245771488,20.5735056542811,0.0
0.002,0,3,uniform_b8_active,2016,1044,0.015376984126984126,0.9851190476190477,9.17624521072797,0.0
0.002,0,3,capacity_b8,2016,1044,0.015376984126984126,0.9851190476190477,15.754789272030651,0.0
0.002,0,3,hybrid_g4_c4_u4,2016,1044,0.015376984126984126,0.9851190476190477,20.11111111111111,0.0
0.002,1,3,uniform_b8_active,2017,1037,0.033217649975210706,0.9677739216658403,9.07039537126326,0.0
0.002,1,3,capacity_b8,2017,1037,0.033217649975210706,0.9677739216658403,15.699132111861138,0.0
0.002,1,3,hybrid_g4_c4_u4,2017,1037,0.033217649975210706,0.9677739216658403,20.02314368370299,0.0
0.002,2,3,uniform_b8_active,2017,1054,0.026772434308378782,0.9747149231531979,9.40607210626186,0.0
0.002,2,3,capacity_b8,2017,1054,0.026772434308378782,0.9747149231531979,15.721062618595825,0.0
0.002,2,3,hybrid_g4_c4_u4,2017,1054,0.026772434308378782,0.9747149231531979,20.00569259962049,0.0
0.001,0,3,uniform_b8_active,1040,692,0.013461538461538462,0.9865384615384616,6.26878612716763,0.0
0.001,0,3,capacity_b8,1040,692,0.013461538461538462,0.9865384615384616,15.54335260115607,0.0
0.001,0,3,hybrid_g4_c4_u4,1040,692,0.013461538461538462,0.9865384615384616,18.684971098265898,0.0
0.001,1,3,uniform_b8_active,1040,703,0.020192307692307693,0.9807692307692307,6.409672830725462,0.0
0.001,1,3,capacity_b8,1040,703,0.020192307692307693,0.9807692307692307,15.601706970128022,0.0
0.001,1,3,hybrid_g4_c4_u4,1040,703,0.020192307692307693,0.9807692307692307,18.67709815078236,0.0
0.001,2,3,uniform_b8_active,1042,701,0.011516314779270634,0.9884836852207294,6.459343794579173,0.0
0.001,2,3,capacity_b8,1042,701,0.011516314779270634,0.9884836852207294,15.600570613409415,0.0
0.001,2,3,hybrid_g4_c4_u4,1042,701,0.011516314779270634,0.9884836852207294,18.59058487874465,0.0
