method,selectivity,parameter,matched_level,recall,recall_p10,distance_computations,portal_computations,payload_computations,adjacency_reads,visited_cells,summary_checks_query,child_reads_query,latency_ms,valid_count,materialization_ms,materialization_summary_checks
capacity_b8,0.001,32,3,0.8200000000000001,0.6,316.6,260.23333333333335,56.36666666666667,595.7333333333333,260.23333333333335,0.0,0.0,1.7060850999949178,1040.6666666666667,14.496850999989874,260953.66666666666
capacity_b8,0.001,64,3,0.9433333333333334,0.89,421.8666666666667,314.6666666666667,107.2,1138.8333333333333,314.6666666666667,0.0,0.0,2.834756233333261,1040.6666666666667,14.496850999989874,260953.66666666666
capacity_b8,0.001,128,3,1.0,1.0,554.1666666666666,349.0,205.16666666666666,2214.5666666666666,349.0,0.0,0.0,4.156591200001003,1040.6666666666667,14.496850999989874,260953.66666666666
capacity_b8,0.001,256,3,1.0,1.0,756.7666666666667,366.03333333333336,390.73333333333335,4197.433333333333,366.03333333333336,0.0,0.0,5.48010603333277,1040.6666666666667,14.496850999989874,260953.66666666666
hybrid_g4_c4_u4,0.001,32,3,0.83,0.69,321.1,265.1666666666667,55.93333333333333,711.0333333333333,265.1666666666667,0.0,0.0,1.677501033332381,1040.6666666666667,25.77530266667812,260953.66666666666
hybrid_g4_c4_u4,0.001,64,3,0.9433333333333334,0.89,422.93333333333334,315.93333333333334,107.0,1374.3666666666666,315.93333333333334,0.0,0.0,2.8245718666653374,1040.6666666666667,25.77530266667812,260953.66666666666
hybrid_g4_c4_u4,0.001,128,3,1.0,1.0,554.4333333333333,349.26666666666665,205.16666666666666,2658.5,349.26666666666665,0.0,0.0,4.115949899997418,1040.6666666666667,25.77530266667812,260953.66666666666
hybrid_g4_c4_u4,0.001,256,3,1.0,1.0,756.6666666666666,365.93333333333334,390.73333333333335,5029.166666666667,365.93333333333334,0.0,0.0,5.474617599999003,1040.6666666666667,25.77530266667812,260953.66666666666
postfilter_hnsw,0.001,500,3,0.03666666666666667,0.0,,,0.36666666666666664,,,0.0,0.0,30.44778066666633,1040.6666666666667,0.0,0.0
postfilter_hnsw,0.001,1000,3,0.1,0.0,,,1.0,,,0.0,0.0,30.44778066666633,1040.6666666666667,0.0,0.0
postfilter_hnsw,0.001,2000,3,0.2,0.0,,,2.0,,,0.0,0.0,30.44778066666633,1040.6666666666667,0.0,0.0
postfilter_hnsw,0.001,4000,3,0.39666666666666667,0.2,,,3.966666666666667,,,0.0,0.0,30.44778066666633,1040.6666666666667,0.0,0.0
postfilter_hnsw,0.001,8000,3,0.7333333333333333,0.49000000000000005,,,7.333333333333333,,,0.0,0.0,30.44778066666633,1040.6666666666667,0.0,0.0
postfilter_hnsw,0.001,16000,3,1.0,1.0,,,10.0,,,0.0,0.0,30.44778066666633,1040.6666666666667,0.0,0.0
prefilter_exact,0.001,0,3,1.0,1.0,1040.6666666666667,0.0,1040.6666666666667,0.0,0.0,0.0,0.0,0.16718636666629058,1040.6666666666667,0.0,0.0
topdown_summary_hybrid,0.001,32,3,0.8266666666666667,0.69,524.2333333333333,468.2,56.03333333333333,709.0,262.1666666666667,324.6666666666667,114.66666666666667,1.810113500001383,1040.6666666666667,25.77530266667812,260953.66666666666
topdown_summary_hybrid,0.001,64,3,0.9433333333333334,0.89,630.0666666666667,523.0666666666667,107.0,1372.0333333333333,313.8,352.8666666666667,142.86666666666667,2.9388742666697,1040.6666666666667,25.77530266667812,260953.66666666666
topdown_summary_hybrid,0.001,128,3,1.0,1.0,768.6,563.4333333333333,205.16666666666666,2658.5,347.43333333333334,411.3333333333333,201.33333333333334,4.2466227666684135,1040.6666666666667,25.77530266667812,260953.66666666666
topdown_summary_hybrid,0.001,256,3,1.0,1.0,962.4333333333333,571.7,390.73333333333335,5029.166666666667,364.1666666666667,467.8666666666667,257.8666666666667,5.555831533335247,1040.6666666666667,25.77530266667812,260953.66666666666
uniform_b8_active,0.001,32,3,0.74,0.59,221.96666666666667,166.66666666666666,55.3,261.06666666666666,166.66666666666666,0.0,0.0,1.7729197999964679,1040.6666666666667,3.9459836666632477,11667.333333333334
uniform_b8_active,0.001,64,3,0.9033333333333334,0.8,344.03333333333336,237.0,107.03333333333333,478.1333333333333,237.0,0.0,0.0,3.0771668000009336,1040.6666666666667,3.9459836666632477,11667.333333333334
