selectivity,method,level_name,recall,distance_computations,adjacency_reads,materialization_ms,copies_used_mean,active_degree_mean
0.001,active_c1,L3,0.99,515.0666666666667,870.0666666666667,3.3121773333372557,1.0,6.20610382023822
0.001,active_c2,L3,1.0,548.3333333333334,1710.7,3.395332000006116,2.0,12.28010674864012
0.001,active_c4,L3,1.0,559.9333333333333,3281.6,3.694985666669482,4.0,23.39692731395358
0.001,active_c8,L3,1.0,567.6666666666666,6078.066666666667,4.226172333346767,8.0,42.963469411854895
0.001,adaptive_deg,L3,1.0,541.0333333333333,1428.0333333333333,12.089830999997275,1.8062909719027476,10.926399545931186
0.001,lazy_qcap,L3,0.99,13727.133333333331,34883.5,3.3121773333372557,1.0,6.20610382023822
0.001,router1hop,L3,0.9233333333333332,801.3,1570.4666666666667,14.254826666672216,1.0,16.567525971727214
0.001,witness_c1,L3,0.99,1002.7333333333332,1265.7,4.097552999998773,1.0,6.20610382023822
0.002,active_c1,L3,0.9533333333333334,739.0666666666667,1308.6333333333334,5.035854000008537,1.0,9.269973669407626
0.002,active_c2,L3,0.9733333333333332,787.0333333333333,2566.1,5.176175000002559,2.0,18.18733781251762
0.002,active_c4,L3,0.9733333333333332,807.0333333333333,4907.233333333334,5.700655666657895,4.0,34.69747560903275
0.002,active_c8,L3,0.9733333333333332,819.5666666666667,9006.4,6.750634333333967,8.0,63.15059957051541
0.002,adaptive_deg,L3,0.9733333333333332,753.6666666666666,1539.8333333333333,13.759703666664793,1.2982862668581718,11.723691188557863
0.002,lazy_qcap,L3,0.96,6209.166666666667,10820.933333333332,5.035854000008537,1.0,9.269973669407626
0.002,router1hop,L3,0.95,969.4666666666668,1949.7,14.909179000009468,1.0,16.534537394689252
0.002,witness_c1,L3,0.9666666666666668,1420.0333333333333,1759.9,5.907788666680365,1.0,9.269973669407626
0.003,active_c1,V04,0.9366666666666668,785.9333333333333,1176.2,8.44760466666609,1.0,8.024974838290529
0.003,active_c2,V04,0.9533333333333334,918.5333333333332,2281.866666666667,8.63664166666922,2.0,15.75674196339212
0.003,active_c4,V04,0.9566666666666668,1003.6666666666666,4400.266666666666,9.652035666675827,4.0,30.35045967314143
0.003,active_c8,V04,0.9566666666666668,1052.5333333333333,8190.7,11.242021666655925,8.0,55.90039263692504
0.003,adaptive_deg,V04,0.95,837.1333333333333,1496.9666666666667,25.866192666664272,1.481007841528862,11.428961567822029
0.003,lazy_qcap,V04,0.94,9700.066666666668,18623.2,8.44760466666609,1.0,8.024974838290529
0.003,native_active_c1,L3,0.9733333333333332,890.8333333333334,1507.7333333333331,5.690052666674698,1.0,10.709888345438582
0.003,router1hop,V04,0.91,1168.6666666666667,1921.6666666666667,30.081572333330087,1.0,17.00355519258263
0.003,witness_c1,V04,0.9466666666666668,1406.2666666666669,1572.0333333333333,13.375289333339424,1.0,8.024974838290529
0.005,active_c1,V04,0.92,1041.6,1510.6333333333334,11.3551149999959,1.0,10.53015963180744
0.005,active_c2,V04,0.9533333333333334,1211.2666666666669,2943.0333333333333,11.76686599999736,2.0,20.55381442664541
0.005,active_c4,V04,0.9533333333333334,1325.2666666666669,5649.466666666666,13.047241333339343,4.0,39.38119252982598
0.005,active_c8,V04,0.9533333333333334,1394.1,10501.2,15.47420033332969,8.0,72.39261599645653
0.005,adaptive_deg,V04,0.93,1059.3333333333333,1631.9333333333334,29.0072700000034,1.1774216695815527,12.076203660473704
0.005,lazy_qcap,V04,0.9266666666666666,4302.933333333333,6470.333333333333,11.3551149999959,1.0,10.53015963180744
0.005,native_active_c1,L3,0.9766666666666668,1168.3,1783.4666666666667,6.913929666675737,1.0,12.8649429821058
0.005,router1hop,V04,0.9066666666666666,1332.8333333333333,2117.4666666666667,30.87569099999617,1.0,16.811806932237428
0.005,witness_c1,V04,0.9333333333333332,1806.2666666666669,1976.5333333333333,17.4383076666705,1.0,10.53015963180744
0.007,active_c1,V08,0.9133333333333332,1081.4,1415.7,19.367656333325083,1.0,9.418504874892433
0.007,active_c2,V08,0.9366666666666668,1362.5,2742.633333333333,20.090534666659703,2.0,18.396290794706736
0.007,active_c4,V08,0.94,1600.8,5292.7,22.514345333339254,4.0,35.32559122814174
