selectivity,method,level_name,materialization_ms,summary_checks,edges,mean_active_degree,zero_active_degree,copies_used_mean
0.001,active_c1,L3,3.3121773333372553,11575.333333333334,4336.0,6.20610382023822,0.0014300123061911666,1.0
0.001,active_c2,L3,3.3953320000061162,22678.0,8579.333333333334,12.280106748640117,0.0,2.0
0.001,active_c4,L3,3.6949856666694814,43314.333333333336,16346.666666666666,23.39692731395358,0.0,4.0
0.001,active_c8,L3,4.226172333346768,78978.0,30017.333333333332,42.963469411854895,0.0,8.0
0.001,adaptive_deg,L3,12.089830999997275,20630.666666666668,7633.666666666667,10.926399545931185,0.0,1.8062909719027473
0.001,router1hop,L3,14.254826666672216,31076.0,18814.666666666668,16.567525971727218,0.0,1.0
0.002,active_c1,L3,5.035854000008537,17278.666666666668,9687.333333333334,9.269973669407626,0.0,1.0
0.002,active_c2,L3,5.176175000002559,33837.333333333336,19006.666666666668,18.187337812517615,0.0,2.0
0.002,active_c4,L3,5.7006556666578945,64450.666666666664,36260.666666666664,34.69747560903276,0.0,4.0
0.002,active_c8,L3,6.750634333333967,117244.33333333333,65997.33333333333,63.1505995705154,0.0,8.0
0.002,adaptive_deg,L3,13.759703666664791,22071.0,12251.333333333334,11.723691188557863,0.0,1.298286266858172
0.002,router1hop,L3,14.909179000009468,31076.0,24870.0,16.534537394689252,0.0,1.0
0.003,active_c1,V04,8.44760466666609,29886.666666666668,14106.0,8.024974838290529,0.0,1.0
0.003,active_c2,V04,8.63664166666922,58450.0,27696.0,15.756741963392118,0.0,2.0
0.003,active_c4,V04,9.652035666675829,111905.33333333333,53348.666666666664,30.35045967314143,0.0,4.0
0.003,active_c8,V04,11.242021666655923,205051.33333333334,98258.0,55.900392636925034,0.0,8.0
0.003,adaptive_deg,V04,25.866192666664272,43178.333333333336,20088.333333333332,11.428961567822027,0.0,1.481007841528862
0.003,native_active_c1,L3,5.690052666674698,20210.666666666668,13156.0,10.709888345438584,0.0,1.0
0.003,router1hop,V04,30.081572333330087,63322.0,45667.333333333336,17.003555192582635,0.0,1.0
0.005,active_c1,V04,11.3551149999959,39547.0,24770.666666666668,10.530159631807441,0.0,1.0
0.005,active_c2,V04,11.766865999997359,77210.33333333333,48350.0,20.553814426645406,0.0,2.0
0.005,active_c4,V04,13.047241333339343,147688.66666666666,92638.66666666667,39.38119252982599,0.0,4.0
0.005,active_c8,V04,15.47420033332969,270352.3333333333,170293.33333333334,72.39261599645654,0.0,8.0
0.005,adaptive_deg,V04,29.0072700000034,45685.666666666664,28407.333333333332,12.076203660473702,0.0,1.177421669581553
0.005,native_active_c1,L3,6.913929666675737,24515.0,19329.333333333332,12.864942982105802,0.0,1.0
0.005,router1hop,V04,30.87569099999617,63322.0,54323.333333333336,16.811806932237428,0.0,1.0
0.007,active_c1,V08,19.367656333325083,68670.66666666667,37477.333333333336,9.418504874892433,0.0,1.0
0.007,active_c2,V08,20.090534666659703,133919.66666666666,73201.33333333333,18.39629079470674,0.0,2.0
0.007,active_c4,V08,22.514345333339254,255314.66666666666,140564.66666666666,35.32559122814174,0.0,4.0
0.007,active_c8,V08,27.092086000000865,465567.6666666667,258307.33333333334,64.91505235386741,0.0,8.0
0.007,adaptive_deg,V08,53.336703333324444,86342.33333333333,46511.0,11.688899705683362,0.0,1.2975752669385898
0.007,native_active_c1,L2,23.533378333344974,90824.0,33722.0,6.628051361493003,0.0014402249292043,1.0
0.007,router1hop,V08,61.86579033332388,126472.0,99864.0,17.25828613395611,0.0,1.0
0.01,active_c1,V08,23.076061333332138,80930.66666666667,51934.0,10.932334011499472,0.0,1.0
0.01,active_c2,V08,24.150102999991912,157955.66666666666,101574.66666666667,21.381977555278343,0.0,2.0
0.01,active_c4,V08,27.012376000006572,301007.3333333333,194455.33333333334,40.93402616730865,0.0,4.0
0.01,active_c8,V08,33.07520733333528,548476.3333333334,357205.3333333333,75.19416404013965,0.0,8.0
0.01,adaptive_deg,V08,58.051030333331255,91557.33333333333,58335.333333333336,12.280236887250949,0.0,1.158550494150778
0.01,native_active_c1,L2,30.346869666667924,114166.66666666667,53130.666666666664,8.206748401926456,0.00030881694749576664,1.0
0.01,router1hop,V08,62.94066533333383,126472.0,109927.33333333333,17.03692254888153,0.0,1.0
0.02,active_c1,L2,45.61920233333202,161929.66666666666,106738.0,11.327023445518435,0.0,1.0
0.02,active_c2,L2,48.38930966665581,314264.3333333333,207970.66666666666,22.069807127861534,0.0,2.0
0.02,active_c4,L2,55.40722900000598,592992.6666666666,395400.0,41.959755901682705,0.0,4.0
0.02,active_c8,L2,66.91107066666291,1061421.3333333333,715350.6666666666,75.91278843812523,0.0,8.0
0.02,adaptive_deg,L2,113.4294729999965,179849.66666666666,117551.33333333333,12.474478687977566,0.0,1.1391876099316467
0.02,router1hop,L2,125.88338366667055,246730.0,217121.33333333334,17.18392089634463,0.0,1.0
