selectivity,A,B,recall_A,recall_B,recall_delta_A_minus_B,dist_A,dist_B,distance_ratio_A_over_B,edge_ratio_A_over_B,mat_ratio_A_over_B
0.001,active_c2,active_c1,1.0,0.99,0.010000000000000009,548.3333333333334,515.0666666666667,1.0645871084649237,1.9661711746226342,1.0251057411183584
0.002,active_c2,active_c1,0.9733333333333332,0.9533333333333334,0.019999999999999796,787.0333333333333,739.0666666666667,1.0649016777918094,1.9609006851932038,1.0278643900307245
0.003,active_c2,active_c1,0.9533333333333334,0.9366666666666668,0.016666666666666607,918.5333333333332,785.9333333333333,1.1687166002205445,1.940032874227739,1.0223775860095659
0.005,active_c2,active_c1,0.9533333333333334,0.92,0.033333333333333326,1211.2666666666669,1041.6,1.1628904249871994,1.948211566892473,1.0362612796084945
0.007,active_c2,active_c1,0.9366666666666668,0.9133333333333332,0.02333333333333354,1362.5,1081.4,1.2599408174588496,1.9372983918438462,1.0373239963005123
0.01,active_c2,active_c1,0.92,0.89,0.030000000000000027,1591.9,1257.8333333333333,1.2655889757519545,1.9401686603607118,1.0465435435946073
0.02,active_c2,active_c1,0.83,0.7799999999999999,0.050000000000000044,1951.5666666666664,1452.8666666666666,1.343252420501996,1.9256041061919684,1.060722397403687
0.001,active_c4,active_c1,1.0,0.99,0.010000000000000009,559.9333333333333,515.0666666666667,1.0871084649236342,3.7716650065129107,1.1155760379974944
0.002,active_c4,active_c1,0.9733333333333332,0.9533333333333334,0.019999999999999796,807.0333333333333,739.0666666666667,1.0919628360093812,3.7498917445681244,1.132013689564517
0.003,active_c4,active_c1,0.9566666666666668,0.9366666666666668,0.020000000000000018,1003.6666666666666,785.9333333333333,1.2770379167020103,3.741087116703508,1.1425766294157176
0.005,active_c4,active_c1,0.9533333333333334,0.92,0.033333333333333326,1325.2666666666669,1041.6,1.2723374295954943,3.7398000838500405,1.149018863599713
0.007,active_c4,active_c1,0.94,0.9133333333333332,0.026666666666666727,1600.8,1081.4,1.4803033105233954,3.7385745567563746,1.1624713360180705
0.01,active_c4,active_c1,0.92,0.89,0.030000000000000027,1880.0666666666664,1257.8333333333333,1.494686630449185,3.746537538215319,1.170580005392369
0.02,active_c4,active_c1,0.83,0.7799999999999999,0.050000000000000044,2463.0666666666666,1452.8666666666666,1.6953150094066902,3.694534689248159,1.2145593558421837
0.001,active_c8,active_c1,1.0,0.99,0.010000000000000009,567.6666666666666,515.0666666666667,1.102122702562775,6.985748218527315,1.2759498988203617
0.002,active_c8,active_c1,0.9733333333333332,0.9533333333333334,0.019999999999999796,819.5666666666667,739.0666666666667,1.1089211618257262,6.882294505718433,1.3405143066742053
0.003,active_c8,active_c1,0.9566666666666668,0.9366666666666668,0.020000000000000018,1052.5333333333333,785.9333333333333,1.3392145220120453,6.9636966502295525,1.330794007325709
0.005,active_c8,active_c1,0.9533333333333334,0.92,0.033333333333333326,1394.1,1041.6,1.338421658986175,6.95152143692491,1.3627515294504087
0.007,active_c8,active_c1,0.94,0.9133333333333332,0.026666666666666727,1778.8666666666666,1081.4,1.6449664015782008,6.947493583857221,1.3988314091150353
0.01,active_c8,active_c1,0.92,0.89,0.030000000000000027,2089.4,1257.8333333333333,1.6611103749834373,6.96903789728543,1.433312507518773
0.02,active_c8,active_c1,0.83,0.7799999999999999,0.050000000000000044,2905.5666666666666,1452.8666666666666,1.9998852842655899,6.81347200061516,1.4667303951909265
0.001,adaptive_deg,active_c1,1.0,0.99,0.010000000000000009,541.0333333333333,515.0666666666667,1.050414185865907,1.6412918550302658,3.6501158553053394
0.002,adaptive_deg,active_c1,0.9733333333333332,0.9533333333333334,0.019999999999999796,753.6666666666666,739.0666666666667,1.0197546454988273,1.1766728648208054,2.732347615050291
0.003,adaptive_deg,active_c1,0.95,0.9366666666666668,0.013333333333333197,837.1333333333333,785.9333333333333,1.0651454745949616,1.2727143909765912,3.0619558664636894
0.005,adaptive_deg,active_c1,0.93,0.92,0.010000000000000009,1059.3333333333333,1041.6,1.0170250896057347,1.0802974469869149,2.554555369982063
0.007,adaptive_deg,active_c1,0.9333333333333332,0.9133333333333332,0.020000000000000018,1128.4,1081.4,1.0434621786572962,1.1176802994984814,2.753905914860246
0.01,adaptive_deg,active_c1,0.8933333333333333,0.89,0.0033333333333332993,1277.7333333333331,1257.8333333333333,1.0158208559692592,1.0432730779489916,2.5156385873129765
0.02,adaptive_deg,active_c1,0.7799999999999999,0.7799999999999999,0.0,1468.9666666666667,1452.8666666666666,1.0110815399440187,1.0277975355158693,2.486441393060448
0.001,lazy_qcap,active_c1,0.99,0.99,0.0,13727.133333333331,515.0666666666667,26.651177841056167,40.09290475825607,1.0
0.002,lazy_qcap,active_c1,0.96,0.9533333333333334,0.006666666666666599,6209.166666666667,739.0666666666667,8.40136207829695,8.268881020912401,1.0
0.003,lazy_qcap,active_c1,0.94,0.9366666666666668,0.0033333333333331883,9700.066666666668,785.9333333333333,12.342098566460262,15.833361673184832,1.0
0.005,lazy_qcap,active_c1,0.9266666666666666,0.92,0.006666666666666599,4302.933333333333,1041.6,4.1310803891449055,4.283192479975286,1.0
0.007,lazy_qcap,active_c1,0.92,0.9133333333333332,0.006666666666666821,5655.9,1081.4,5.230164601442573,6.339219702856066,1.0
0.01,lazy_qcap,active_c1,0.8966666666666666,0.89,0.006666666666666599,3244.133333333333,1257.8333333333333,2.5791440307406917,2.748445739376655,1.0
0.02,lazy_qcap,active_c1,0.7899999999999999,0.7799999999999999,0.010000000000000009,2617.733333333333,1452.8666666666666,1.8017712109392925,1.9278340606316924,1.0
0.001,router1hop,active_c1,0.9233333333333332,0.99,-0.06666666666666676,801.3,515.0666666666667,1.5557209422728446,1.804995785763543,4.303763123790675
0.002,router1hop,active_c1,0.95,0.9533333333333334,-0.0033333333333334103,969.4666666666668,739.0666666666667,1.3117445426664263,1.4898749331363508,2.960605887300187
0.003,router1hop,active_c1,0.91,0.9366666666666668,-0.026666666666666727,1168.6666666666667,785.9333333333333,1.486979387564679,1.63379243892762,3.5609588185430563
0.005,router1hop,active_c1,0.9066666666666666,0.92,-0.01333333333333342,1332.8333333333333,1041.6,1.2796018945212495,1.4017078929367373,2.71909980656359
0.007,router1hop,active_c1,0.8433333333333334,0.9133333333333332,-0.06999999999999984,1470.0666666666666,1081.4,1.3594106405277109,1.4772668409032046,3.1942837723155026
0.01,router1hop,active_c1,0.86,0.89,-0.030000000000000027,1590.2666666666669,1257.8333333333333,1.2642904465350473,1.35790056835669,2.727530683168163
0.02,router1hop,active_c1,0.7433333333333334,0.7799999999999999,-0.036666666666666514,1798.6666666666667,1452.8666666666666,1.2380122057541414,1.3120206078548222,2.7594385089607956
0.001,witness_c1,active_c1,0.99,0.99,0.0,1002.7333333333332,515.0666666666667,1.9468030028475274,1.4547161137077618,1.237117638224459
