selectivity,mask_seed,level_name,method,active_cells,edges,mean_active_degree,zero_active_degree,materialization_ms,summary_checks,copies_used_mean,router_cells
0.001,0,L3,active_c1,692,4290,6.199421965317919,0.001445086705202312,3.365610999992441,11439,1.0,
0.001,0,L3,active_c2,692,8558,12.367052023121387,0.0,3.387954000004356,22531,2.0,
0.001,0,L3,active_c4,692,16188,23.393063583815028,0.0,3.6619360000145207,42967,4.0,
0.001,0,L3,active_c8,692,29720,42.947976878612714,0.0,4.203118000020822,78317,8.0,
0.001,0,L3,adaptive_deg,692,7601,10.984104046242775,0.0,11.918987999990804,20455,1.80635838150289,
0.001,0,L3,router1hop,692,18588,16.53034682080925,0.0,14.262445000014168,31076,1.0,1266.0
0.001,1,L3,active_c1,703,4344,6.17923186344239,0.002844950213371266,3.2532419999995454,11693,1.0,
0.001,1,L3,active_c2,703,8520,12.119487908961593,0.0,3.394224000004442,22806,2.0,
0.001,1,L3,active_c4,703,16450,23.399715504978662,0.0,3.681725999996388,43615,4.0,
0.001,1,L3,active_c8,703,30354,43.1778093883357,0.0,4.2314500000202315,79566,8.0,
0.001,1,L3,adaptive_deg,703,7606,10.819345661450924,0.0,12.199589000005062,20850,1.8136557610241821,
0.001,1,L3,router1hop,703,19042,16.633001422475107,0.0,14.269966000000522,31076,1.0,1260.0
0.001,2,L3,active_c1,701,4374,6.239657631954351,0.0,3.31767900001978,11594,1.0,
0.001,2,L3,active_c2,701,8660,12.353780313837374,0.0,3.403818000009551,22697,2.0,
0.001,2,L3,active_c4,701,16402,23.398002853067048,0.0,3.7412949999975353,43361,4.0,
0.001,2,L3,active_c8,701,29978,42.76462196861626,0.0,4.2439489999992475,79051,8.0,
0.001,2,L3,adaptive_deg,701,7694,10.975748930099858,0.0,12.15091599999596,20587,1.7988587731811698,
0.001,2,L3,router1hop,701,18814,16.53922967189729,0.0,14.232069000001957,31076,1.0,1261.0
0.002,0,L3,active_c1,1044,9634,9.227969348659004,0.0,5.075567000005776,17287,1.0,
0.002,0,L3,active_c2,1044,18888,18.091954022988507,0.0,5.091540999984545,33824,2.0,
0.002,0,L3,active_c4,1044,36356,34.82375478927203,0.0,5.610861000008072,64550,4.0,
0.002,0,L3,active_c8,1044,66412,63.61302681992337,0.0,6.755228000002944,117519,8.0,
0.002,0,L3,adaptive_deg,1044,12184,11.670498084291188,0.0,13.673732000000882,22125,1.3017241379310345,
0.002,0,L3,router1hop,1044,24940,16.558429118773947,0.0,14.794103000014047,31076,1.0,920.0
0.002,1,L3,active_c1,1037,9600,9.257473481195756,0.0,4.9963579999996455,17118,1.0,
0.002,1,L3,active_c2,1037,18754,18.084860173577628,0.0,5.208076000002393,33489,2.0,
0.002,1,L3,active_c4,1037,35574,34.30472516875603,0.0,5.723739999979216,63741,4.0,
0.002,1,L3,active_c8,1037,64298,62.00385728061716,0.0,6.715739000014764,115800,8.0,
0.002,1,L3,adaptive_deg,1037,12176,11.741562198649952,0.0,13.779879999987088,21942,1.3037608486017358,
0.002,1,L3,router1hop,1037,24636,16.507232401157186,0.0,15.005911000002925,31076,1.0,927.0
0.002,2,L3,active_c1,1054,9828,9.324478178368121,0.0,5.035637000020188,17431,1.0,
0.002,2,L3,active_c2,1054,19378,18.38519924098672,0.0,5.228908000020738,34199,2.0,
0.002,2,L3,active_c4,1054,36852,34.963946869070206,0.0,5.767365999986396,65061,4.0,
0.002,2,L3,active_c8,1054,67282,63.83491461100569,0.0,6.7809359999841945,118414,8.0,
0.002,2,L3,adaptive_deg,1054,12394,11.759013282732449,0.0,13.825499000006403,22146,1.2893738140417457,
0.002,2,L3,router1hop,1054,25034,16.537950664136623,0.0,14.927523000011433,31076,1.0,910.0
0.003,0,V04,active_c1,1772,14404,8.128668171557562,0.0,8.598333999998431,30147,1.0,
0.003,0,V04,active_c2,1772,28136,15.878103837471784,0.0,8.640858000006801,58878,2.0,
0.003,0,V04,active_c4,1772,54434,30.718961625282166,0.0,9.702291000024843,112882,4.0,
0.003,0,V04,active_c8,1772,99970,56.41647855530474,0.0,11.340669999981401,206739,8.0,
0.003,0,V04,adaptive_deg,1772,20257,11.431715575620768,0.0,25.743295000012267,43096,1.4650112866817155,
0.003,0,V04,router1hop,1772,45890,17.01297968397291,0.0,30.077770000019655,63322,1.0,2226.0
0.003,0,L3,native_active_c1,1214,12890,10.617792421746293,0.0,5.613775000000487,20019,1.0,
0.003,1,V04,active_c1,1751,14098,8.051399200456881,0.0,8.400888000011264,29854,1.0,
0.003,1,V04,active_c2,1751,27642,15.78640776699029,0.0,8.658583999988423,58434,2.0,
0.003,1,V04,active_c4,1751,53002,30.26956025128498,0.0,9.680127999985189,111672,4.0,
0.003,1,V04,active_c8,1751,97664,55.776127926898916,0.0,11.186457999997401,204529,8.0,
0.003,1,V04,adaptive_deg,1751,20056,11.454026270702455,0.0,25.725518000001557,43139,1.4785836664762992,
0.003,1,V04,router1hop,1751,45610,17.049685893774985,0.0,29.780743999992865,63322,1.0,2248.0
0.003,1,L3,native_active_c1,1233,13242,10.739659367396595,0.0,5.762298000007604,20273,1.0,
0.003,2,V04,active_c1,1750,13816,7.894857142857143,0.0,8.343591999988575,29659,1.0,
0.003,2,V04,active_c2,1750,27310,15.605714285714285,0.0,8.610483000012437,58038,2.0,
0.003,2,V04,active_c4,1750,52610,30.062857142857144,0.0,9.573688000017455,111162,4.0,
0.003,2,V04,active_c8,1750,97140,55.50857142857143,0.0,11.198936999988973,203886,8.0,
0.003,2,V04,adaptive_deg,1750,19952,11.401142857142856,0.0,26.12976499997899,43300,1.4994285714285713,
0.003,2,V04,router1hop,1750,45502,16.948,0.0,30.38620299997774,63322,1.0,2249.0
0.003,2,L3,native_active_c1,1238,13336,10.772213247172859,0.0,5.694085000016003,20340,1.0,
0.005,0,V04,active_c1,2347,24540,10.455901150404772,0.0,11.378527000005079,39425,1.0,
0.005,0,V04,active_c2,2347,47774,20.355347251810823,0.0,11.738787000012962,76921,2.0,
0.005,0,V04,active_c4,2347,91624,39.03877290157648,0.0,12.91114700001117,147051,4.0,
0.005,0,V04,active_c8,2347,168424,71.76139752876011,0.0,15.26008199999751,269105,8.0,
0.005,0,V04,adaptive_deg,2347,28215,12.02172986791649,0.0,28.822466000008262,45676,1.181934384320409,
0.005,0,V04,router1hop,2347,54310,16.7980400511291,0.0,30.76992900000164,63322,1.0,1653.0
0.005,0,L3,native_active_c1,1511,19478,12.890800794176043,0.0,6.940236000019695,24640,1.0,
0.005,1,V04,active_c1,2357,24948,10.584641493423844,0.0,11.347609999972974,39623,1.0,
0.005,1,V04,active_c2,2357,48764,20.68901145523971,0.0,11.754720999988422,77398,2.0,
0.005,1,V04,active_c4,2357,93334,39.59864234196012,0.0,13.15540400000259,148102,4.0,
0.005,1,V04,active_c8,2357,171526,72.77301654645736,0.0,15.675826000006055,271090,8.0,
0.005,1,V04,adaptive_deg,2357,28407,12.052184980907933,0.0,28.907983999999942,45397,1.168010182435299,
0.005,1,V04,router1hop,2357,54298,16.810776410691556,0.0,30.76215699999807,63322,1.0,1643.0
0.005,1,L3,native_active_c1,1484,18788,12.660377358490566,0.0,6.818473000009817,24208,1.0,
0.005,2,V04,active_c1,2353,24824,10.54993625159371,0.0,11.339208000009648,39593,1.0,
0.005,2,V04,active_c2,2353,48512,20.617084572885677,0.0,11.807089999990694,77312,2.0,
0.005,2,V04,active_c4,2353,92958,39.50616234594135,0.0,13.07517300000427,147913,4.0,
0.005,2,V04,active_c8,2353,170930,72.64343391415214,0.0,15.486692999985507,270862,8.0,
0.005,2,V04,adaptive_deg,2353,28600,12.154696132596685,0.0,29.291360000001987,45984,1.1823204419889504,
0.005,2,V04,router1hop,2353,54362,16.826604334891627,0.0,31.094986999988805,63322,1.0,1647.0
0.005,2,L3,native_active_c1,1512,19722,13.043650793650794,0.0,6.983079999997699,24697,1.0,
0.007,0,V08,active_c1,3967,37380,9.422737585076884,0.0,19.243209999984856,68497,1.0,
0.007,0,V08,active_c2,3967,72848,18.363498865641542,0.0,19.533335000005536,133639,2.0,
0.007,0,V08,active_c4,3967,140156,35.330476430552054,0.0,22.174368000008826,254741,4.0,
0.007,0,V08,active_c8,3967,257386,64.88177464078649,0.0,26.44900399999983,464496,8.0,
0.007,0,V08,adaptive_deg,3967,46274,11.664734055961684,0.0,52.93859899998665,86058,1.2936728006049911,
0.007,0,V08,router1hop,3967,99614,17.266700277287622,0.0,61.089202000005116,126472,1.0,4032.0
0.007,0,L2,native_active_c1,5068,33482,6.60655090765588,0.0015785319652722968,23.25916600000255,90411,1.0,
0.007,1,V08,active_c1,4017,38038,9.46925566343042,0.0,19.664000999995324,69309,1.0,
0.007,1,V08,active_c2,4017,74396,18.520288772715958,0.0,20.97720199998321,135173,2.0,
0.007,1,V08,active_c4,4017,142678,35.51854617874035,0.0,23.136563000008437,257442,4.0,
0.007,1,V08,active_c8,4017,262740,65.40702016430171,0.0,28.17167000000609,469721,8.0,
0.007,1,V08,adaptive_deg,4017,47139,11.734876773711726,0.0,53.8444190000007,87030,1.2959920338561115,
0.007,1,V08,router1hop,4017,100580,17.253920836445108,0.0,62.385065999990275,126472,1.0,3983.0
0.007,1,L2,native_active_c1,5069,33526,6.613927796409548,0.0009863878477017164,23.51216700000691,90636,1.0,
0.007,2,V08,active_c1,3953,37014,9.363521376169997,0.0,19.195757999995067,68206,1.0,
0.007,2,V08,active_c2,3953,72360,18.305084745762713,0.0,19.761066999990362,132947,2.0,
0.007,2,V08,active_c4,3953,138860,35.127751075132814,0.0,22.2321050000005,253761,4.0,
0.007,2,V08,active_c8,3953,254796,64.45636225651404,0.0,26.65558399999668,462486,8.0,
0.007,2,V08,adaptive_deg,3953,46120,11.667088287376677,0.0,53.22709199998599,85939,1.3030609663546673,
0.007,2,V08,router1hop,3953,99398,17.25423728813559,0.0,62.123102999976254,126472,1.0,4046.0
0.007,2,L2,native_active_c1,5126,34158,6.6636753804135775,0.001755754974639095,23.828802000025462,91425,1.0,
0.01,0,V08,active_c1,4761,52390,11.003990758244067,0.0,23.426196999992044,81191,1.0,
0.01,0,V08,active_c2,4761,102182,21.462297836588952,0.0,24.091174999995246,158271,2.0,
0.01,0,V08,active_c4,4761,195588,41.0812854442344,0.0,27.005499000011923,301780,4.0,
0.01,0,V08,active_c8,4761,359726,75.55681579500106,0.0,33.5366699999895,550214,8.0,
0.01,0,V08,adaptive_deg,4761,58515,12.290485192186516,0.0,57.814915999983896,91321,1.1522789329972696,
0.01,0,V08,router1hop,4761,109992,17.05335013652594,0.0,63.13808500001983,126472,1.0,3239.0
0.01,0,L2,native_active_c1,6480,53204,8.210493827160494,0.00030864197530864197,30.890618999990238,114404,1.0,
0.01,1,V08,active_c1,4715,51050,10.827147401908801,0.0,22.36470400001167,80404,1.0,
0.01,1,V08,active_c2,4715,99986,21.20593849416755,0.0,23.842260999998643,157005,2.0,
0.01,1,V08,active_c4,4715,191648,40.64644750795334,0.0,26.1951530000033,299147,4.0,
0.01,1,V08,active_c8,4715,352258,74.71007423117709,0.0,32.49271300001055,545246,8.0,
0.01,1,V08,adaptive_deg,4715,57863,12.272110286320254,0.0,57.878931999994165,91745,1.1683987274655356,
0.01,1,V08,router1hop,4715,109758,17.052810180275717,0.0,61.745484999988776,126472,1.0,3285.0
0.01,1,L2,native_active_c1,6478,53382,8.240506329113924,0.0004631058968817536,29.777208000012934,114425,1.0,
0.01,2,V08,active_c1,4775,52362,10.96586387434555,0.0,23.437282999992703,81197,1.0,
0.01,2,V08,active_c2,4775,102556,21.477696335078534,0.0,24.516872999981842,158591,2.0,
0.01,2,V08,active_c4,4775,196130,41.07434554973822,0.0,27.836476000004495,302095,4.0,
0.01,2,V08,active_c8,4775,359632,75.31560209424084,0.0,33.19623900000579,549969,8.0,
0.01,2,V08,adaptive_deg,4775,58628,12.278115183246074,0.0,58.459243000015704,91606,1.1549738219895287,
0.01,2,V08,router1hop,4775,110032,17.004607329842933,0.0,63.93842599999289,126472,1.0,3224.0
0.01,2,L2,native_active_c1,6464,52806,8.169245049504951,0.0001547029702970297,30.372782000000598,113671,1.0,
0.02,0,L2,active_c1,9410,106642,11.332837407013814,0.0,45.3575829999977,161730,1.0,
0.02,0,L2,active_c2,9410,207838,22.08692879914984,0.0,47.2446959999786,313921,2.0,
0.02,0,L2,active_c4,9410,394726,41.94750265674814,0.0,54.193905000005316,592191,4.0,
