method,selectivity,mask_seed,query,parameter,level_name,recall,distance_computations,portal_computations,payload_computations,adjacency_reads,visited_cells,summary_checks_query,child_reads_query,latency_ms,valid_count,materialization_ms,materialization_summary_checks,copies_used_mean,active_degree_mean,postfilter_candidate_pool_lower_bound
prefilter_exact,0.001,0,0,0,L3,1.0,1040.0,0.0,1040,0.0,0.0,0,0,0.1732300000014675,1040,0.0,0,0.0,0.0,0.0
postfilter_hnsw,0.001,0,0,500,L3,0.0,,,0,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,500.0
postfilter_hnsw,0.001,0,0,1000,L3,0.2,,,2,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,1000.0
postfilter_hnsw,0.001,0,0,2000,L3,0.3,,,3,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,2000.0
postfilter_hnsw,0.001,0,0,4000,L3,0.4,,,4,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,4000.0
postfilter_hnsw,0.001,0,0,8000,L3,0.6,,,6,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,8000.0
postfilter_hnsw,0.001,0,0,16000,L3,1.0,,,10,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,16000.0
active_c1,0.001,0,0,32,L3,0.4,205.0,146.0,59,217.0,146.0,0,0,1.3269709999974566,1040,3.365610999992441,11439,1.0,6.199421965317919,
active_c2,0.001,0,0,32,L3,0.7,295.0,228.0,67,409.0,228.0,0,0,1.1958450000122411,1040,3.387954000004356,22531,2.0,12.367052023121387,
active_c4,0.001,0,0,32,L3,0.9,360.0,295.0,65,794.0,295.0,0,0,1.156817000008914,1040,3.6619360000145207,42967,4.0,23.393063583815028,
active_c8,0.001,0,0,32,L3,0.8,389.0,328.0,61,1533.0,328.0,0,0,1.1197000000038315,1040,4.203118000020822,78317,8.0,42.947976878612714,
adaptive_deg,0.001,0,0,32,L3,0.7,286.0,219.0,67,399.0,219.0,0,0,1.1195910000196818,1040,11.918987999990804,20455,1.80635838150289,10.984104046242775,
router1hop,0.001,0,0,32,L3,0.5,371.0,331.0,40,428.0,331.0,0,0,1.2004519999777585,1040,14.262445000014168,31076,1.0,16.53034682080925,
lazy_qcap,0.001,0,0,32,L3,0.6,4952.0,4892.0,60,13093.0,158.0,13093,0,5.652243000014323,1040,3.365610999992441,11439,1.0,6.199421965317919,
witness_c1,0.001,0,0,32,L3,0.6,517.0,456.0,61,327.0,146.0,941,941,2.387642000002188,1040,4.13057899999103,13945,1.0,6.199421965317919,
active_c1,0.001,0,0,64,L3,0.6,347.0,234.0,113,445.0,234.0,0,0,2.07814899999903,1040,3.365610999992441,11439,1.0,6.199421965317919,
active_c2,0.001,0,0,64,L3,0.9,420.0,300.0,120,826.0,300.0,0,0,2.021063000029244,1040,3.387954000004356,22531,2.0,12.367052023121387,
active_c4,0.001,0,0,64,L3,0.9,461.0,339.0,122,1600.0,339.0,0,0,1.8589400000053047,1040,3.6619360000145207,42967,4.0,23.393063583815028,
active_c8,0.001,0,0,64,L3,0.9,469.0,347.0,122,3020.0,347.0,0,0,1.5452590000109012,1040,4.203118000020822,78317,8.0,42.947976878612714,
adaptive_deg,0.001,0,0,64,L3,0.9,413.0,293.0,120,771.0,293.0,0,0,1.967852999968045,1040,11.918987999990804,20455,1.80635838150289,10.984104046242775,
router1hop,0.001,0,0,64,L3,0.8,549.0,485.0,64,761.0,485.0,0,0,2.119260999990047,1040,14.262445000014168,31076,1.0,16.53034682080925,
lazy_qcap,0.001,0,0,64,L3,0.6,7708.0,7594.0,114,20382.0,235.0,20382,0,8.934670000002143,1040,3.365610999992441,11439,1.0,6.199421965317919,
witness_c1,0.001,0,0,64,L3,0.6,772.0,659.0,113,662.0,235.0,1878,1878,4.181284999987156,1040,4.13057899999103,13945,1.0,6.199421965317919,
active_c1,0.001,0,0,128,L3,0.9,531.0,310.0,221,877.0,310.0,0,0,4.019492999987051,1040,3.365610999992441,11439,1.0,6.199421965317919,
active_c2,0.001,0,0,128,L3,1.0,566.0,343.0,223,1700.0,343.0,0,0,3.0597429999943415,1040,3.387954000004356,22531,2.0,12.367052023121387,
active_c4,0.001,0,0,128,L3,1.0,572.0,349.0,223,3203.0,349.0,0,0,2.427293000039299,1040,3.6619360000145207,42967,4.0,23.393063583815028,
active_c8,0.001,0,0,128,L3,1.0,578.0,355.0,223,5929.0,355.0,0,0,2.0608830000128364,1040,4.203118000020822,78317,8.0,42.947976878612714,
adaptive_deg,0.001,0,0,128,L3,1.0,559.0,336.0,223,1481.0,336.0,0,0,3.1589209999935974,1040,11.918987999990804,20455,1.80635838150289,10.984104046242775,
router1hop,0.001,0,0,128,L3,0.8,819.0,706.0,113,1502.0,706.0,0,0,3.768544999985579,1040,14.262445000014168,31076,1.0,16.53034682080925,
lazy_qcap,0.001,0,0,128,L3,0.9,13889.0,13668.0,221,37298.0,310.0,37298,0,15.878181000005043,1040,3.365610999992441,11439,1.0,6.199421965317919,
witness_c1,0.001,0,0,128,L3,0.9,1001.0,781.0,220,1278.0,310.0,3450,3450,7.205225000006976,1040,4.13057899999103,13945,1.0,6.199421965317919,
active_c1,0.001,0,0,256,L3,1.0,738.0,344.0,394,1675.0,344.0,0,0,4.848895999998604,1040,3.365610999992441,11439,1.0,6.199421965317919,
active_c2,0.001,0,0,256,L3,1.0,747.0,353.0,394,3270.0,353.0,0,0,4.027213999989954,1040,3.387954000004356,22531,2.0,12.367052023121387,
active_c4,0.001,0,0,256,L3,1.0,756.0,362.0,394,6182.0,362.0,0,0,3.4061610000151177,1040,3.6619360000145207,42967,4.0,23.393063583815028,
active_c8,0.001,0,0,256,L3,1.0,780.0,386.0,394,11384.0,386.0,0,0,3.2390810000038073,1040,4.203118000020822,78317,8.0,42.947976878612714,
adaptive_deg,0.001,0,0,256,L3,1.0,747.0,353.0,394,2875.0,353.0,0,0,4.156026999964979,1040,11.918987999990804,20455,1.80635838150289,10.984104046242775,
router1hop,0.001,0,0,256,L3,1.0,1064.0,876.0,188,2824.0,876.0,0,0,6.144180999996252,1040,14.262445000014168,31076,1.0,16.53034682080925,
lazy_qcap,0.001,0,0,256,L3,1.0,26236.0,25842.0,394,70556.0,344.0,70556,0,28.599791999994295,1040,3.365610999992441,11439,1.0,6.199421965317919,
witness_c1,0.001,0,0,256,L3,1.0,1209.0,815.0,394,2080.0,344.0,3450,3450,8.321219000038127,1040,4.13057899999103,13945,1.0,6.199421965317919,
prefilter_exact,0.001,0,3,0,L3,1.0,1040.0,0.0,1040,0.0,0.0,0,0,0.1308860000222012,1040,0.0,0,0.0,0.0,0.0
postfilter_hnsw,0.001,0,3,500,L3,0.0,,,0,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,500.0
postfilter_hnsw,0.001,0,3,1000,L3,0.1,,,1,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,1000.0
postfilter_hnsw,0.001,0,3,2000,L3,0.2,,,2,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,2000.0
postfilter_hnsw,0.001,0,3,4000,L3,0.3,,,3,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,4000.0
postfilter_hnsw,0.001,0,3,8000,L3,1.0,,,10,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,8000.0
postfilter_hnsw,0.001,0,3,16000,L3,1.0,,,10,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,16000.0
active_c1,0.001,0,3,32,L3,0.8,216.0,158.0,58,230.0,158.0,0,0,1.2162769999974898,1040,3.365610999992441,11439,1.0,6.199421965317919,
active_c2,0.001,0,3,32,L3,0.8,304.0,244.0,60,456.0,244.0,0,0,1.2167759999783812,1040,3.387954000004356,22531,2.0,12.367052023121387,
active_c4,0.001,0,3,32,L3,0.9,355.0,292.0,63,809.0,292.0,0,0,1.144045999978971,1040,3.6619360000145207,42967,4.0,23.393063583815028,
active_c8,0.001,0,3,32,L3,0.9,385.0,322.0,63,1501.0,322.0,0,0,1.0966959999905157,1040,4.203118000020822,78317,8.0,42.947976878612714,
adaptive_deg,0.001,0,3,32,L3,0.8,295.0,234.0,61,405.0,234.0,0,0,1.2094759999854432,1040,11.918987999990804,20455,1.80635838150289,10.984104046242775,
router1hop,0.001,0,3,32,L3,0.6,377.0,341.0,36,458.0,341.0,0,0,1.3095259999715836,1040,14.262445000014168,31076,1.0,16.53034682080925,
lazy_qcap,0.001,0,3,32,L3,0.9,3738.0,3679.0,59,9797.0,155.0,9797,0,4.421304999993936,1040,3.365610999992441,11439,1.0,6.199421965317919,
witness_c1,0.001,0,3,32,L3,0.9,507.0,448.0,59,335.0,158.0,970,970,2.3799629999814442,1040,4.13057899999103,13945,1.0,6.199421965317919,
active_c1,0.001,0,3,64,L3,1.0,347.0,235.0,112,457.0,235.0,0,0,2.0049080000035246,1040,3.365610999992441,11439,1.0,6.199421965317919,
active_c2,0.001,0,3,64,L3,1.0,420.0,308.0,112,841.0,308.0,0,0,2.107332000008455,1040,3.387954000004356,22531,2.0,12.367052023121387,
active_c4,0.001,0,3,64,L3,1.0,443.0,332.0,111,1603.0,332.0,0,0,1.9080829999893467,1040,3.6619360000145207,42967,4.0,23.393063583815028,
active_c8,0.001,0,3,64,L3,1.0,460.0,349.0,111,2964.0,349.0,0,0,1.7025040000078207,1040,4.203118000020822,78317,8.0,42.947976878612714,
adaptive_deg,0.001,0,3,64,L3,1.0,392.0,282.0,110,749.0,282.0,0,0,1.9754749999947308,1040,11.918987999990804,20455,1.80635838150289,10.984104046242775,
router1hop,0.001,0,3,64,L3,0.9,571.0,508.0,63,819.0,508.0,0,0,2.1726909999983945,1040,14.262445000014168,31076,1.0,16.53034682080925,
lazy_qcap,0.001,0,3,64,L3,1.0,7008.0,6896.0,112,18858.0,235.0,18858,0,8.043853000003764,1040,3.365610999992441,11439,1.0,6.199421965317919,
witness_c1,0.001,0,3,64,L3,1.0,719.0,608.0,111,648.0,241.0,1671,1671,4.10182499996381,1040,4.13057899999103,13945,1.0,6.199421965317919,
