method,selectivity,parameter,level_name,recall,recall_p10,distance_computations,portal_computations,payload_computations,adjacency_reads,visited_cells,summary_checks_query,child_reads_query,latency_ms,valid_count,materialization_ms,materialization_summary_checks,copies_used_mean,active_degree_mean
active_c1,0.001,32,L3,0.6866666666666668,0.4,216.3,161.56666666666666,54.733333333333334,242.16666666666666,161.56666666666666,0.0,0.0,1.2275948666626846,1040.6666666666667,3.3121773333372553,11575.333333333334,1.0,6.20610382023822
active_c1,0.001,64,L3,0.8533333333333334,0.6,344.6666666666667,238.43333333333334,106.23333333333333,454.76666666666665,238.43333333333334,0.0,0.0,2.04224186666598,1040.6666666666667,3.3121773333372553,11575.333333333334,1.0,6.20610382023822
active_c1,0.001,128,L3,0.99,0.99,515.0666666666667,310.56666666666666,204.5,870.0666666666667,310.56666666666666,0.0,0.0,3.4096155000005033,1040.6666666666667,3.3121773333372553,11575.333333333334,1.0,6.20610382023822
active_c1,0.001,256,L3,1.0,1.0,743.6666666666666,352.6666666666667,391.0,1673.4666666666667,352.6666666666667,0.0,0.0,4.9302034333332285,1040.6666666666667,3.3121773333372553,11575.333333333334,1.0,6.20610382023822
active_c2,0.001,32,L3,0.7866666666666667,0.59,287.8,231.9,55.9,443.3,231.9,0.0,0.0,1.1758865666630907,1040.6666666666667,3.3953320000061162,22678.0,2.0,12.280106748640119
active_c2,0.001,64,L3,0.9366666666666668,0.89,404.46666666666664,297.53333333333336,106.93333333333334,863.3,297.53333333333336,0.0,0.0,1.9935109000025857,1040.6666666666667,3.3953320000061162,22678.0,2.0,12.280106748640119
active_c2,0.001,128,L3,1.0,1.0,548.3333333333334,343.23333333333335,205.1,1710.7,343.23333333333335,0.0,0.0,3.0868155666685957,1040.6666666666667,3.3953320000061162,22678.0,2.0,12.280106748640119
active_c2,0.001,256,L3,1.0,1.0,753.4333333333333,362.7,390.73333333333335,3317.3333333333335,362.7,0.0,0.0,4.225652966667326,1040.6666666666667,3.3953320000061162,22678.0,2.0,12.280106748640119
active_c4,0.001,32,L3,0.8266666666666667,0.68,342.4,286.6,55.8,824.1,286.6,0.0,0.0,1.242771766669648,1040.6666666666667,3.6949856666694814,43314.333333333336,4.0,23.39692731395358
active_c4,0.001,64,L3,0.9433333333333334,0.89,437.5,330.6,106.9,1655.9,330.6,0.0,0.0,1.846723200001558,1040.6666666666667,3.6949856666694814,43314.333333333336,4.0,23.39692731395358
