threshold,selectivity,best_graph_method,level_name,parameter,graph_recall,graph_distances,graph_edges,avg_copies,progress_fraction,geo_fallbacks,router_fallbacks,exact_scan_distances,postfilter_min_pool,postfilter_recall,distance_reduction_vs_scan,distance_reduction_vs_post_pool_lb
0.95,0.001,fixed_c1,L3,128.0,0.99,514.6666666666666,2288.5,1.0,0.2533196453083564,0.0,0.0,1040.6666666666667,16000,0.9966666666666666,0.5054452274183217,0.9678333333333333
0.95,0.002,fixed_c1,L3,128.0,0.9666666666666668,737.4333333333333,2295.5666666666666,1.0,0.185420622205714,0.0,0.0,2016.6666666666667,8000,0.9933333333333334,0.6343305785123967,0.9078208333333333
0.95,0.003,fixed_c1,L3,128.0,0.9633333333333332,890.7666666666667,2273.233333333333,1.0,0.1628457076790094,0.0,0.0,2895.333333333333,4000,0.9833333333333332,0.6923440018420446,0.7773083333333333
0.95,0.005,fixed_c1,L3,128.0,0.98,1175.5,2262.3,1.0,0.1412911033400191,0.0,0.0,4936.666666666667,4000,0.9933333333333334,0.761883862255233,0.706125
0.95,0.007,progress4,L2,256.0,0.96,1473.5333333333333,5872.066666666667,1.0489369979426857,0.1957307355706439,69.0,0.0,7114.666666666667,2000,1.0,0.7928879310344827,0.2632333333333333
0.95,0.01,degree4,L2,256.0,0.9666666666666668,1708.2666666666669,5073.966666666666,1.0101193939984547,0.1635897312140534,0.0,0.0,9917.666666666666,2000,0.9966666666666666,0.8277551843511578,0.1458666666666666
0.95,0.02,none,,,,,,,,,,19797.0,1000,1.0,,
0.99,0.001,fixed_c1,L3,128.0,0.99,514.6666666666666,2288.5,1.0,0.2533196453083564,0.0,0.0,1040.6666666666667,16000,0.9966666666666666,0.5054452274183217,0.9678333333333333
0.99,0.002,fixed_c1,L3,256.0,1.0,1049.7,4519.333333333333,1.0,0.2991752718590686,0.0,0.0,2016.6666666666667,8000,0.9933333333333334,0.4794876033057851,0.8687875
0.99,0.003,fixed_c1,L3,256.0,0.9966666666666666,1274.2333333333331,4499.333333333333,1.0,0.2673570543059161,0.0,0.0,2895.333333333333,8000,0.9966666666666666,0.55990099009901,0.8407208333333334
0.99,0.005,progress4,L3,128.0,0.99,1177.5333333333333,2494.9,1.0002604166666669,0.1544628722906089,29.366666666666667,0.0,4936.666666666667,4000,0.9933333333333334,0.7614719783929778,0.7056166666666667
0.99,0.007,none,,,,,,,,,,7114.666666666667,2000,1.0,,
0.99,0.01,none,,,,,,,,,,9917.666666666666,2000,0.9966666666666666,,
0.99,0.02,none,,,,,,,,,,19797.0,1000,1.0,,
