method,selectivity,mask_seed,query,parameter,level_name,recall,distance_computations,portal_computations,payload_computations,adjacency_reads,visited_cells,summary_checks_query,copy_lists_read,expanded_active_cells,avg_copies_per_expansion,active_edges_exposed,improving_edges,progress_fraction,geo_fallbacks,router_fallbacks,latency_ms,valid_count,theory_copies
prefilter_exact,0.001,0,0,0,L3,1.0,1040.0,0.0,1040,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.400769999998829,1040,2
postfilter_hnsw,0.001,0,0,500,L3,0.0,,,0,,,0,0,0,0.0,0,0,0.0,0,0,31.2500259666668,1040,2
postfilter_hnsw,0.001,0,0,1000,L3,0.2,,,2,,,0,0,0,0.0,0,0,0.0,0,0,31.2500259666668,1040,2
postfilter_hnsw,0.001,0,0,2000,L3,0.3,,,3,,,0,0,0,0.0,0,0,0.0,0,0,31.2500259666668,1040,2
postfilter_hnsw,0.001,0,0,4000,L3,0.4,,,4,,,0,0,0,0.0,0,0,0.0,0,0,31.2500259666668,1040,2
postfilter_hnsw,0.001,0,0,8000,L3,0.6,,,6,,,0,0,0,0.0,0,0,0.0,0,0,31.2500259666668,1040,2
postfilter_hnsw,0.001,0,0,16000,L3,1.0,,,10,,,0,0,0,0.0,0,0,0.0,0,0,31.2500259666668,1040,2
fixed_c1,0.001,0,0,32,L3,0.5,210.0,148.0,62,593.0,148.0,593,32,32,1.0,221,28,0.12669683257918551,0,0,3.01117899999781,1040,2
fixed_c2,0.001,0,0,32,L3,0.9,306.0,241.0,65,1389.0,241.0,1389,70,35,2.0,484,38,0.07851239669421488,0,0,2.83247200002279,1040,2
theory_c,0.001,0,0,32,L3,0.9,306.0,241.0,65,1389.0,241.0,1389,70,35,2.0,484,38,0.07851239669421488,0,0,2.816246999998384,1040,2
degree4,0.001,0,0,32,L3,0.5,210.0,148.0,62,593.0,148.0,593,32,32,1.0,221,28,0.12669683257918551,0,0,2.1246409999946536,1040,2
