selectivity,mask_seed,level_name,valid_count,active_cells,point_valid_degree,point_zero_degree,copy1_active_degree,copy1_zero_active_degree,fanout_summary_checks,theory_copies,tau_sB,active_probability_approx
0.001,0,L3,1040,692,0.013461538461538462,0.9865384615384616,6.104046242774566,0.001445086705202312,31062,2,0.5091649694501018,0.3990027796204787
0.001,1,L3,1040,703,0.020192307692307693,0.9807692307692307,6.233285917496444,0.0,31062,2,0.5091649694501018,0.3990027796204787
0.001,2,L3,1042,701,0.012476007677543186,0.9875239923224568,6.205420827389443,0.0014265335235378032,31062,2,0.5091649694501018,0.3990027796204787
0.002,0,L3,2016,1044,0.012896825396825396,0.9871031746031746,9.296934865900383,0.0,31062,1,1.0183299389002036,0.638802341096089
0.002,1,L3,2017,1036,0.029251363411006447,0.9712444224095191,9.127413127413128,0.0,31062,1,1.0183299389002036,0.638802341096089
0.002,2,L3,2017,1054,0.02478929102627665,0.9762022806147744,9.282732447817837,0.0,31062,1,1.0183299389002036,0.638802341096089
0.003,0,L3,2894,1214,0.035245335176226675,0.9647546648237734,10.504118616144975,0.0,31062,1,1.5274949083503055,0.7829212109911591
0.003,1,L3,2895,1233,0.0383419689119171,0.9630397236614853,10.69910786699108,0.0,31062,1,1.5274949083503055,0.7829212109911591
0.003,2,L3,2897,1238,0.037625129444252677,0.9634104245771488,10.859450726978999,0.0,31062,1,1.5274949083503055,0.7829212109911591
0.005,0,L3,4935,1511,0.05835866261398176,0.9422492401215805,12.84844473858372,0.0,31062,1,2.545824847250509,0.9215916496123107
0.005,1,L3,4938,1484,0.0694613203726205,0.9333738355609559,12.796495956873315,0.0,31062,1,2.545824847250509,0.9215916496123107
0.005,2,L3,4937,1512,0.07656471541421916,0.926068462629127,12.973544973544973,0.0,31062,1,2.545824847250509,0.9215916496123107
0.007,0,L2,7115,5067,0.09121574139142656,0.9138439915671117,6.610617722518255,0.0011841326228537595,246698,3,0.4471986200728295,0.3605831053686912
0.007,1,L2,7115,5069,0.09866479269149683,0.9055516514406184,6.583547050700336,0.00019727756954034326,246698,3,0.4471986200728295,0.3605831053686912
0.007,2,L2,7114,5123,0.0950238965420298,0.908068597132415,6.672262346281475,0.0013663868826859261,246698,3,0.4471986200728295,0.3605831053686912
0.01,0,L2,9917,6477,0.12796208530805686,0.8799031965312091,8.188976377952756,0.0003087849312953528,246698,2,0.6388551715326135,0.47210357090414934
0.01,1,L2,9919,6480,0.12914608327452365,0.8791208791208791,8.213888888888889,0.0006172839506172839,246698,2,0.6388551715326135,0.47210357090414934
0.01,2,L2,9917,6462,0.12413028133508118,0.8814157507310678,8.16001238006809,0.0,246698,2,0.6388551715326135,0.47210357090414934
0.02,0,L2,19797,9412,0.25549325655402333,0.7727433449512553,11.330004249893753,0.0,246698,1,1.277710343065227,0.7213253601478495
0.02,1,L2,19795,9416,0.24511240212174792,0.7806516797171003,11.379141886151231,0.0,246698,1,1.277710343065227,0.7213253601478495
0.02,2,L2,19799,9438,0.2531946057881711,0.7746855901813223,11.277177368086459,0.0,246698,1,1.277710343065227,0.7213253601478495
