method,selectivity,parameter,level_name,recall,recall_p10,distance_computations,portal_computations,payload_computations,adjacency_reads,visited_cells,summary_checks_query,copy_lists_read,expanded_active_cells,avg_copies_per_expansion,active_edges_exposed,improving_edges,progress_fraction,geo_fallbacks,router_fallbacks,latency_ms,valid_count,theory_copies
degree4,0.001,32,L3,0.6733333333333333,0.49000000000000005,222.8,166.26666666666668,56.53333333333333,627.2333333333333,166.26666666666668,627.2333333333333,34.93333333333333,33.96666666666667,1.0289082326214678,252.06666666666666,34.7,0.13810614643318578,0.0,0.0,2.2395445999971266,1040.6666666666667,2.0
degree4,0.001,64,L3,0.8533333333333334,0.7,349.3333333333333,242.03333333333333,107.3,1208.7333333333333,242.03333333333333,1208.7333333333333,67.23333333333333,64.7,1.0391439960025342,472.03333333333336,81.73333333333333,0.17364186985119795,0.0,0.0,4.033989033326672,1040.6666666666667,2.0
degree4,0.001,128,L3,0.9933333333333334,1.0,517.8,313.1,204.7,2405.9666666666667,313.1,2405.9666666666667,135.23333333333332,128.1,1.0556908107235143,922.4666666666667,233.2,0.25292457396414264,0.0,0.0,7.144428833337694,1040.6666666666667,2.0
degree4,0.001,256,L3,1.0,1.0,749.0333333333333,358.3666666666667,390.6666666666667,4769.066666666667,358.3666666666667,4769.066666666667,276.8666666666667,256.1333333333333,1.080953163646578,1802.5,723.7333333333333,0.40148406936474257,0.0,0.0,11.492305866671396,1040.6666666666667,2.0
degree8,0.001,32,L3,0.7766666666666667,0.59,269.03333333333336,213.33333333333334,55.7,979.4333333333333,213.33333333333334,979.4333333333333,54.666666666666664,33.03333333333333,1.6560621696844606,376.8666666666667,37.9,0.10110628180743259,0.0,0.0,2.3883429333305153,1040.6666666666667,2.0
degree8,0.001,64,L3,0.9166666666666666,0.79,390.1,283.3666666666667,106.73333333333333,1930.5333333333333,283.3666666666667,1930.5333333333333,107.6,64.33333333333333,1.672585712898213,730.3333333333334,111.9,0.15352909126420036,0.0,0.0,4.359972199999144,1040.6666666666667,2.0
degree8,0.001,128,L3,1.0,1.0,540.0666666666667,334.8666666666667,205.2,3816.5333333333333,334.8666666666667,3816.5333333333333,215.03333333333333,128.06666666666666,1.6790859173126615,1437.9333333333334,358.1,0.24920921099288965,0.0,0.0,7.454772899996935,1040.6666666666667,2.0
degree8,0.001,256,L3,1.0,1.0,754.1,363.3333333333333,390.76666666666665,7597.633333333333,363.3333333333333,7597.633333333333,441.96666666666664,256.0,1.7264322916666666,2838.9333333333334,1149.0333333333333,0.4047040547957394,0.0,0.0,12.107174366666603,1040.6666666666667,2.0
fixed_c1,0.001,32,L3,0.6766666666666666,0.49000000000000005,219.96666666666667,162.96666666666667,57.0,610.9333333333333,162.96666666666667,610.9333333333333,33.833333333333336,33.833333333333336,1.0,245.03333333333333,34.333333333333336,0.14051738933969835,0.0,0.0,2.3655304333336367,1040.6666666666667,2.0
fixed_c1,0.001,64,L3,0.8566666666666667,0.7,345.2,237.5,107.7,1166.1666666666667,237.5,1166.1666666666667,64.7,64.7,1.0,455.4,80.2,0.1765191936091123,0.0,0.0,4.023002366669933,1040.6666666666667,2.0
fixed_c1,0.001,128,L3,0.99,1.0,514.6666666666666,310.1,204.56666666666666,2288.5,310.1,2288.5,128.13333333333333,128.13333333333333,1.0,877.8666666666667,222.26666666666668,0.2533196453083564,0.0,0.0,7.012332566669481,1040.6666666666667,2.0
fixed_c1,0.001,256,L3,0.9933333333333334,1.0,747.5,356.9,390.6,4432.9,356.9,4432.9,256.06666666666666,256.06666666666666,1.0,1674.6,666.2,0.3978417516815659,0.0,0.0,11.348383133331671,1040.6666666666667,2.0
fixed_c2,0.001,32,L3,0.81,0.6,290.7,235.16666666666666,55.53333333333333,1185.3333333333333,235.16666666666666,1185.3333333333333,65.13333333333334,32.56666666666667,2.0,456.73333333333335,41.96666666666667,0.09275940121671453,0.0,0.0,2.5363631333391368,1040.6666666666667,2.0
fixed_c2,0.001,64,L3,0.9366666666666668,0.8,406.4,299.73333333333335,106.66666666666667,2338.6666666666665,299.73333333333335,2338.6666666666665,128.46666666666667,64.23333333333333,2.0,886.8333333333334,129.43333333333334,0.14674076397230226,0.0,0.0,4.519213766666515,1040.6666666666667,2.0
fixed_c2,0.001,128,L3,1.0,1.0,547.8,342.6333333333333,205.16666666666666,4599.266666666666,342.6333333333333,4599.266666666666,256.06666666666666,128.03333333333333,2.0,1739.1,426.56666666666666,0.24552904946209594,0.0,0.0,7.582388533330686,1040.6666666666667,2.0
fixed_c2,0.001,256,L3,1.0,1.0,755.0666666666667,364.3333333333333,390.73333333333335,8896.466666666667,364.3333333333333,8896.466666666667,512.0,256.0,2.0,3331.0666666666666,1321.1666666666667,0.39662105793221575,0.0,0.0,12.361133199996743,1040.6666666666667,2.0
postfilter_hnsw,0.001,500,L3,0.03666666666666667,0.0,,,0.36666666666666664,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2500259666668,1040.6666666666667,2.0
postfilter_hnsw,0.001,1000,L3,0.1,0.0,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2500259666668,1040.6666666666667,2.0
postfilter_hnsw,0.001,2000,L3,0.2,0.0,,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2500259666668,1040.6666666666667,2.0
postfilter_hnsw,0.001,4000,L3,0.39333333333333337,0.2,,,3.933333333333333,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2500259666668,1040.6666666666667,2.0
